ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
645524,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-09-14 18:36:00,[Intel NUC Wall Street Canyon/Pegatron/ADL-P]Wake on WLAN from modern standby fail
645524,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-09-14 18:36:00,[Intel NUC Wall Street Canyon/Pegatron/ADL-P]Wake on WLAN from modern standby fail
645524,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-09-14 18:36:00,[Intel NUC Wall Street Canyon/Pegatron/ADL-P]Wake on WLAN from modern standby fail
643200,QUANTA COMPUTER INC.,,non_canonical_customer_no_title_brand,NA,QUANTA COMPUTER INC.,2021-09-06 01:01:00,MSFT ODM Quanta Z93 HrP2 AX201 22.70 and 22.80 No included RLG driver
643200,QUANTA COMPUTER INC.,,non_canonical_customer_no_title_brand,NA,QUANTA COMPUTER INC.,2021-09-06 01:01:00,MSFT ODM Quanta Z93 HrP2 AX201 22.70 and 22.80 No included RLG driver
643200,QUANTA COMPUTER INC.,,non_canonical_customer_no_title_brand,NA,QUANTA COMPUTER INC.,2021-09-06 01:01:00,MSFT ODM Quanta Z93 HrP2 AX201 22.70 and 22.80 No included RLG driver
641217,WISTRON CORPORATION,,non_canonical_customer_no_title_brand,NA,WISTRON CORPORATION,2021-08-27 01:51:00,[Millennio] AX211 SAR Power setting check
641217,WISTRON CORPORATION,,non_canonical_customer_no_title_brand,NA,WISTRON CORPORATION,2021-08-27 01:51:00,[Millennio] AX211 SAR Power setting check
641217,WISTRON CORPORATION,,non_canonical_customer_no_title_brand,NA,WISTRON CORPORATION,2021-08-27 01:51:00,[Millennio] AX211 SAR Power setting check
637529,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",,non_canonical_customer_no_title_brand,NA,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2021-08-13 04:45:00,[Unis][bitland][TianJian-Lake][I5-11400][Intel®  Wireless-AC 9462][ Intel®  Wi-Fi 6 AX201 160MHz][20H2][100% F/R 7/7]External Intel network card blue screen
