ips_case_number,customer,ips_customer_name,ips_oem,ips_owner_name,ips_title,ips_created_date,jira_id
659583,DYNABOOK INC.,NA,Dynabook Inc.,Franky Yang,[Dynabook][Win11] Cannot connect to 6E AP if set SSID as hidden,2021-11-09 19:23:00,NA
659583,DYNABOOK INC.,NA,Dynabook Inc.,Franky Yang,[Dynabook][Win11] Cannot connect to 6E AP if set SSID as hidden,2021-11-09 19:23:00,NA
659435,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Leo Chiang,[Dell/Compal][ADLP] WHQL test - Bluetooth - UsbScoDataTransportLayer (Development and Integration) fail,2021-11-09 04:41:00,NA
659435,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Leo Chiang,[Dell/Compal][ADLP] WHQL test - Bluetooth - UsbScoDataTransportLayer (Development and Integration) fail,2021-11-09 04:41:00,NA
659435,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Leo Chiang,[Dell/Compal][ADLP] WHQL test - Bluetooth - UsbScoDataTransportLayer (Development and Integration) fail,2021-11-09 04:41:00,NA
659431,PEGATRON CORPORATION,NA,Pegatron Corporation,Franky Yang,[ASUS Pegatron][B2402/B2502][ADL-P][AX211] Dynamic SAR no function,2021-11-09 04:25:00,NA
659431,PEGATRON CORPORATION,NA,Pegatron Corporation,Franky Yang,[ASUS Pegatron][B2402/B2502][ADL-P][AX211] Dynamic SAR no function,2021-11-09 04:25:00,NA
659431,PEGATRON CORPORATION,NA,Pegatron Corporation,Franky Yang,[ASUS Pegatron][B2402/B2502][ADL-P][AX211] Dynamic SAR no function,2021-11-09 04:25:00,NA
659267,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][KelvinD][TGL-U][AX201][Wifi][20H1][805228281] The DUT WLAN show Yellow ban , error code 43 , restart system WLAN still yellow ban , Press F10 reset PC can recovery , but go to internet , WLAN show yellow ban again",2021-11-08 22:23:00,NA
659267,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][KelvinD][TGL-U][AX201][Wifi][20H1][805228281] The DUT WLAN show Yellow ban , error code 43 , restart system WLAN still yellow ban , Press F10 reset PC can recovery , but go to internet , WLAN show yellow ban again",2021-11-08 22:23:00,NA
659267,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][KelvinD][TGL-U][AX201][Wifi][20H1][805228281] The DUT WLAN show Yellow ban , error code 43 , restart system WLAN still yellow ban , Press F10 reset PC can recovery , but go to internet , WLAN show yellow ban again",2021-11-08 22:23:00,NA
659224,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][H98VH99V][BohrENobelE_Intel][AX201][21H2][WIFI][805230809 ] The DUT enter hibernation for a while , wake up the system , click WLAN icon of task tray to scan but is blank and can't refrsh hotspot , restart system recovery",2021-11-08 20:03:00,NA
659224,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][H98VH99V][BohrENobelE_Intel][AX201][21H2][WIFI][805230809 ] The DUT enter hibernation for a while , wake up the system , click WLAN icon of task tray to scan but is blank and can't refrsh hotspot , restart system recovery",2021-11-08 20:03:00,NA
659224,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][H98VH99V][BohrENobelE_Intel][AX201][21H2][WIFI][805230809 ] The DUT enter hibernation for a while , wake up the system , click WLAN icon of task tray to scan but is blank and can't refrsh hotspot , restart system recovery",2021-11-08 20:03:00,NA
