ips_case_number,ips_owner_name,reporter,ips_created_date,ips_oem,jira_id,ips_jira_id,ips_title
658305,Zhiwei He,NA,2021-11-04 04:24:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][W11][WIFI] Have no access to the internet about 30s~1min when resume from modernstandby.
658305,Zhiwei He,NA,2021-11-04 04:24:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][W11][WIFI] Have no access to the internet about 30s~1min when resume from modernstandby.
658469,Zhiwei He,NA,2021-11-04 20:21:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][AX201][WIFI] Connect to AP and idle system about 20~30mins. The network is unavailable during use and check wifi deiver on DM. Found that wifi device shwo YB Code: 43
658469,Zhiwei He,NA,2021-11-04 20:21:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][AX201][WIFI] Connect to AP and idle system about 20~30mins. The network is unavailable during use and check wifi deiver on DM. Found that wifi device shwo YB Code: 43
658469,Zhiwei He,NA,2021-11-04 20:21:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyD][Intel TGL][WIN10][AX201][WIFI] Connect to AP and idle system about 20~30mins. The network is unavailable during use and check wifi deiver on DM. Found that wifi device shwo YB Code: 43
661641,Zhiwei He,NA,2021-11-17 07:07:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan-F][ADL-P][AX211][WIN11][WIFI] Auto connect it again and wait for above 15s test wifi6e when turn off and then turn on WIFI switch.
661641,Zhiwei He,NA,2021-11-17 07:07:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan-F][ADL-P][AX211][WIN11][WIFI] Auto connect it again and wait for above 15s test wifi6e when turn off and then turn on WIFI switch.
661641,Zhiwei He,NA,2021-11-17 07:07:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan-F][ADL-P][AX211][WIN11][WIFI] Auto connect it again and wait for above 15s test wifi6e when turn off and then turn on WIFI switch.
665641,Zhiwei He,NA,2021-12-02 23:28:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIN11][WIFI] DUT auto disconnect wifi in Company Intranet environment.
665641,Zhiwei He,NA,2021-12-02 23:28:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIN11][WIFI] DUT auto disconnect wifi in Company Intranet environment.
