ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
629205,"HUAQIN TECHNOLOGY CO., LTD",HONOR|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-12 21:07:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]WiFi list shows that WiFi network cannot be found after connecting network and idle
629205,"HUAQIN TECHNOLOGY CO., LTD",HONOR|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-12 21:07:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]WiFi list shows that WiFi network cannot be found after connecting network and idle
628460,WISTRON CORPORATION,LENOVO,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-08 18:50:00,[Lenovo-ThinkPad][Wistron][X1 Extreme Gen 4i][TGL][AX210][20H2]BT YB Issue
628460,WISTRON CORPORATION,LENOVO,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-08 18:50:00,[Lenovo-ThinkPad][Wistron][X1 Extreme Gen 4i][TGL][AX210][20H2]BT YB Issue
628460,WISTRON CORPORATION,LENOVO,title_brand_mismatch,NA,WISTRON CORPORATION,2021-07-08 18:50:00,[Lenovo-ThinkPad][Wistron][X1 Extreme Gen 4i][TGL][AX210][20H2]BT YB Issue
628013,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-07 06:43:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]Run S4 with step v3.4.8 tool, and the hang machine appears in black screen, and the dump points to the network card"
628013,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-07 06:43:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]Run S4 with step v3.4.8 tool, and the hang machine appears in black screen, and the dump points to the network card"
628013,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-07 06:43:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]Run S4 with step v3.4.8 tool, and the hang machine appears in black screen, and the dump points to the network card"
627970,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-07 03:15:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]Use Windows Hardware Lab Kit to run Bluetooth - HciExtension1,display fail"
627970,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-07 03:15:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]Use Windows Hardware Lab Kit to run Bluetooth - HciExtension1,display fail"
627970,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-07 03:15:00,"[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][BT]Use Windows Hardware Lab Kit to run Bluetooth - HciExtension1,display fail"
