Issue key,project,year,category,Summary,Custom field (Root Cause)
WIFI-779419,WIFI,2025,Connectivity,[MSFT][Marietta][PTL][FmP][UID 1206393] Firmware version under Wireless Device Capabilities is empty,"Add missing Firmware Version field on device capabilities (WinA).
We reported for WinT but not for WinA/U"
WIFI-778106,WIFI,2025,BSOD,"[HP][Moomin][PTL-H][BE211][W11_25H2][0x508] Error message:""PCI configuration change detected""occurred when run vCosmos_WinPVT v11.15.0 Restart Test.","The logic controlling the fatal/non-fatal behavior is governed by the register CNVR_IRI_STEP_PRIM_CSR_PHY_INT_MASK.
When this register is set to its default value of 0x0, all interrupt sources are treated as fatal.
As a result, Assert 508 is observed in Data 1: cnvr_step_csr_phy_interrupt_status."
WIFI-777206,WIFI,2025,Connectivity,[HP][Huaqin][Deso&Esa][Win11][PTL][Sensing] The unit will turn off the screen when sitting in front of the unit doing other things,thresholds chage
WIFI-776970,WIFI,2025,Connectivity,[WiFi-sensing]Sesning debug is blocked due to runCounter wrong values ,Race between counter update and algo completion
WIFI-776963,WIFI,2025,Connectivity,[Samsung][PTL][BE211][P251028-08827] WiFi was disconnected as resuming from modem standby.,DPLL lock problem
WIFI-776762,WIFI,2025,BSOD,[Samsung][PTL][BE211][P251008-02833][UMAC_Assert:0x20101920]WLAN&BT devices is repeatedly dropping and reconnecting.,"Removed debug assert since more than 3 LE ADV connections is a valid case.
Fix was merged on https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/234423."
WIFI-774807,WIFI,2025,Connectivity,[Samsung][PTL][GB6 pro][wifi sensing]HPD didn't work after boot.,"during back from hibernate in case we have an mcc update and adc sample was sent before the update, we abort adc sample and need to resend after new mcc set.
during abort we did not release SDFX buffer, causing SDFX not to respect out next requests for buffer - causing sensing dead issue."
WIFI-772660,WIFI,2025,Connectivity,[Samsung][PTL][BE211][P251002-02293] The system can find the 6GHz mobile hotspot even when the system's MCC is set to an unavailable country.,"with LPI enabled , if mcc change happens from vlp enabled country to disabled , FW as not able to turn off vlp"
WIFI-769938,WIFI,2025,BSOD,[ASUS][PTL][TP34A/TP3607AA][WhP][xVT] DRTU displayed an error message after selecting a different channel or band -- 0xb5d,DRTU continuous tx mode should not work together with sensing.
WIFI-769102,WIFI,2025,YB/Lost,[Samsung][ADL][AX201][FW_Assert:20000038]Install v23.160 WLAN device YB,FW assertion triggered due to sending a command which is unsupported by the HW.
