Issue key,Technology,Model Category,Category Confidence,Root Cause,Root Cause Theme
WIFI-788884,WIFI,Connectivity,0.2884166640468723,changed bad sample logic upon 1 spd window ,Insufficient Root-Cause Detail
WIFI-785633,WIFI,BSOD,0.38509807712646593,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD",Power State / Reset / PLDR
WIFI-781567,WIFI,Connectivity,0.99,couldn't hear the beacon - requirement changed,Insufficient Root-Cause Detail
WIFI-781521,WIFI,Connectivity,0.24940533618996263,UNII6 PP1 Regulatory tables in PNVM changed from LPI to AFC,Insufficient Root-Cause Detail
WIFI-781121,WIFI,Connectivity,0.2375823272413795,Regulatory limit in PNVM changed from LPI to AFC.,Insufficient Root-Cause Detail
WIFI-780520,WIFI,Connectivity,0.15681941451252765,"Product reset when WIMA isn't available on vPro platforms was ignored.
but if nic isn't vPro, we can do PLDR without waiting for WIMA.
so we are taking DcR-2960 which was introduced on master, to solve the issue by checking vPro nic before checking if need WIMA approval",Power State / Reset / PLDR
WIFI-779727,WIFI,YB/Lost,0.153184920045659,thresholds change - explained in bug,Insufficient Root-Cause Detail
WIFI-779419,WIFI,Connectivity,0.17686925752220062,"Add missing Firmware Version field on device capabilities (WinA).
We reported for WinT but not for WinA/U",Firmware Config / Parameter / Tuning
WIFI-778106,WIFI,Connectivity,0.11062915712357349,"The logic controlling the fatal/non-fatal behavior is governed by the register CNVR_IRI_STEP_PRIM_CSR_PHY_INT_MASK.
When this register is set to its default value of 0x0, all interrupt sources are treated as fatal.
As a result, Assert 508 is observed in Data 1: cnvr_step_csr_phy_interrupt_status.",Race / Timing / Interrupt Ordering
WIFI-777206,WIFI,Connectivity,0.2379907149421291,thresholds chage,Insufficient Root-Cause Detail
WIFI-776970,WIFI,Connectivity,0.09127244302105296,Race between counter update and algo completion,Race / Timing / Interrupt Ordering
WIFI-776963,WIFI,Connectivity,0.99,DPLL lock problem,Insufficient Root-Cause Detail
WIFI-776762,WIFI,Connectivity,0.17050159762249084,"Removed debug assert since more than 3 LE ADV connections is a valid case.
Fix was merged on https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/234423.",Firmware Config / Parameter / Tuning
WIFI-774807,WIFI,Connectivity,0.1751801316881916,"during back from hibernate in case we have an mcc update and adc sample was sent before the update, we abort adc sample and need to resend after new mcc set.
during abort we did not release SDFX buffer, causing SDFX not to respect out next requests for buffer - causing sensing dead issue.",Power State / Reset / PLDR
WIFI-772660,WIFI,Connectivity,0.2731953370012452,"with LPI enabled , if mcc change happens from vlp enabled country to disabled , FW as not able to turn off vlp",Firmware Config / Parameter / Tuning
WIFI-769938,WIFI,Connectivity,0.22514097492860985,DRTU continuous tx mode should not work together with sensing.,Insufficient Root-Cause Detail
WIFI-769102,WIFI,YB/Lost,0.3424303134632636,FW assertion triggered due to sending a command which is unsupported by the HW.,Firmware Config / Parameter / Tuning
WIFI-768995,WIFI,Connectivity,0.24360645741090015,"MLD IE should not be inherited...

As we search for IEs to inherit from MBSS IEs, we keep the offset to the relevant IE.

So we go through the first MBSS IE, to the relevant profile, and saved the offset to MLD IE.

But we then proceed to the second MBSS IE,  wrongly zero the previous offset (as MLD is ""non inherited""), don't find the MLD IE in the MBSS IE and thus we don't copy it at all.",Insufficient Root-Cause Detail
